player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0036268,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,55.0,0,0.0,0.0,3.0,-0.21212178701534867,0,10,10,60.0,0,0.0,0.0,-25.0,85.0,2.0,-1.1995801600860432,0,1.6,0.3186220825015392,-0.12232175155819004,0.3923078976615758,0.0,11.5,21.5,8,0.03322259136212625,-0.011837121212121212,0.1118421052631579,0.04036419007349241,0.03631961259079903,0.0,0.022988505747126436,0.020833333333333332,0.018159806295399514,0.029055690072639223,0.19933554817275748,0.03677225148799343
00-0036268,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.5039684260264039,0,5,5,36.0,0,0.0,0.0,-10.0,46.0,2.0,2.915642050211318,0,3.3333333333333335,0.1494638058218576,-0.018705216628072417,0.2111020570931357,1.0,9.7,14.7,6,0.020833333333333332,-0.006426735218508998,0.05094130675526024,0.0261086118251928,0.021101992966002344,0.0,0.022727272727272728,0.021505376344086023,0.010550996483001172,0.016881594372801876,0.15,0.02645121819555907
00-0036269,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,22,77.0,0,0.0,0.0,3.0,-2.3794992521381046,0,3,5,33.0,0,0.0,0.0,2.0,32.0,1.0,-0.15606704220408574,0,33.0,0.17364532019704432,0.011695906432748537,0.26865511479849047,0.0,11.0,14.0,2,0.08333333333333333,0.005988023952095809,0.14222222222222222,0.12979041916167663,0.09734513274336283,0.0,0.058823529411764705,0.05263157894736842,0.048672566371681415,0.07787610619469026,0.55,0.11660836248542396
00-0036271,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,15,21,142.0,1,0.0,0.0,245.0,46.0,8.0,-3.3150641940333117,0,7.142880081632442,0.6168067226890757,0.7947909037770444,1.4815637166775444,0.0,20.200000000000003,35.2,5,0.11290322580645161,0.1499388004895961,0.09218436873747494,0.2893058791013543,0.12533097969991175,0.25,0.13793103448275862,0.14516129032258066,0.18766548984995587,0.1502647837599294,0.7634408602150538,0.09265108443882923
00-0036275,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,229,1049.0,5,2.0,0.0,50.0,1.9140144739499827,0,39,49,214.0,1,1.0,1.0,27.0,267.0,8.0,-8.93390828878769,0,15.939500265816054,1.532708160017385,0.06349801458884408,2.3435108502382684,0.0,160.3,199.3,16,0.09297912713472485,0.006020066889632107,0.1557759626604434,0.14428474421379298,0.05538302277432712,0.043478260869565216,0.0425531914893617,0.04265402843601896,0.04943064182194617,0.05300207039337474,0.4060721062618596,0.14098156558154012
00-0036275,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,253,959.0,6,1.0,0.0,43.0,-38.92684176869807,0,42,52,386.0,0,1.0,0.0,2.0,405.0,12.0,1.8073432361870143,1,3.148611111111111,1.7187290139840672,0.07248869836579316,2.628835609832156,0.0,172.5,214.5,17,0.09187279151943463,0.0004411116012351125,0.21588486140724947,0.13816207656014004,0.10867117117117117,0.0,0.06976744186046512,0.0625,0.054335585585585586,0.08693693693693694,0.6819787985865724,0.16529498797854633
00-0036287,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.08668015024559377
00-0036290,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,2.0,0,0.0,0.0,2.0,0.8037872633431107,0,73,90,719.0,6,1.0,0.0,557.0,290.0,36.0,32.52244778362877,0,23.549242083917665,3.1796522228587447,2.7548258624219306,6.697856437983468,0.0,108.10000000000001,181.1,15,0.19911504424778761,0.16220151426907398,0.19607843137254902,0.4284337777869406,0.24038783015713808,0.35294117647058826,0.24489795918367346,0.25609756097560976,0.2966645033138632,0.2628984994198281,1.5907079646017699,0.16582123171022028
00-0036290,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,55,474.0,4,0.0,0.0,393.0,181.0,25.0,27.909952066424175,1,18.02022751751317,1.6462208580424864,1.5743818638721694,3.571398591774248,0.0,73.4,120.4,14,0.11627906976744186,0.10279884907140989,0.1124922311995028,0.2566576839082907,0.15424666449723398,0.2222222222222222,0.1724137931034483,0.17791411042944785,0.1882344433597281,0.16784177604223163,1.0021141649048626,0.10611482258377253
00-0036297,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,32,121.0,1,0.0,0.0,10.0,0.6038455819798321,0,7,12,49.0,0,0.0,0.0,-14.0,69.0,2.0,-5.2291400569987045,0,-23.05,0.3926461275599207,-0.35080536244064475,0.3434054376314297,0.0,23.0,30.0,6,0.06557377049180328,-0.013972055888223553,0.10518292682926829,0.08718301102712607,0.04224137931034483,0.0,0.03076923076923077,0.028985507246376812,0.021120689655172414,0.033793103448275866,0.2677595628415301,0.06947660954145438
