player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Jaydon Blue,157303,HB,DAL,5,0,9,62.5,,62.7,3,0,32,0,0,72,24.0,0,0,0,0,0,0,0,,3
Trevor Etienne,157730,HB,CAR,18,0,5,63.3,38.6,51.5,34,0,45,0,0,796,23.4,0,21,7,16,2,0,163,7.8,55
Ollie Gordon II,157792,HB,MIA,17,0,17,59.9,,59.9,1,0,25,0,0,25,25.0,0,0,0,0,0,0,0,,1
LeQuint Allen,158290,HB,JAX,18,1,15,64.8,,65.3,25,0,50,0,0,643,25.7,1,0,0,0,0,0,0,,25
Sione Vaki,158505,HB,DET,11,0,11,59.7,,59.6,2,0,29,0,0,39,19.5,0,0,0,0,0,0,0,,2
Omarion Hampton,162750,HB,LAC,10,0,27,59.5,,59.4,1,0,30,0,0,30,30.0,0,0,0,0,0,0,0,,1
Jalen Royals,163442,WR,KC,7,0,16,59.9,,59.9,1,0,30,0,0,30,30.0,0,0,0,0,0,0,0,,1
Isaiah Bond,163586,WR,CLV,16,0,8,,62.4,61.8,0,0,0,0,0,0,,0,2,1,9,0,0,9,4.5,2
Dylan Sampson,163772,HB,CLV,15,0,8,54.4,,53.8,15,0,34,0,0,360,24.0,0,0,0,0,0,0,0,,15
Kameron Johnson,165866,WR,TB,17,0,30,72.1,80.2,82.0,27,0,44,0,0,685,25.4,0,26,15,54,1,0,290,11.2,53
