Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"141","LB","Sonny Styles","Ohio State Buckeyes","88.5","0.467","","","Not Scored"
"142","QB","Ty Simpson","Alabama Crimson Tide","82.8","0.866","","","Not Scored"
"143","DI","Christen Miller","Georgia Bulldogs","84.5","0.194","","","Not Scored"
"144","T","Francis Mauigoa","Miami (FL) Hurricanes","83.1","0.184","","","Not Scored"
"145","QB","Fernando Mendoza","Indiana Hoosiers","91.6","1.300","","","Not Scored"
"146","WR","Denzel Boston","Washington Huskies","87.6","0.309","","","Not Scored"
"147","T","Gennings Dunker","Iowa Hawkeyes","82.8","0.131","","","Not Scored"
"148","ED","Romello Height","Texas Tech Red Raiders","92.6","0.344","","","Not Scored"
"149","QB","Dante Moore","Oregon Ducks","90.2","1.121","","","Not Scored"
"150","G","Olaivavega Ioane","Penn State Nittany Lions","79.9","0.100","","","Not Scored"
"151","ED","R Mason Thomas","Oklahoma Sooners","85.3","0.131","","","Not Scored"
"152","CB","Avieon Terrell","Clemson Tigers","83.5","0.226","","","Not Scored"
"153","T","Kadyn Proctor","Alabama Crimson Tide","85.9","0.204","","","Not Scored"
"154","CB","Colton Hood","Tennessee Volunteers","79.0","0.207","","","Not Scored"
"155","WR","KC Concepcion","Texas A&M Aggies","78.4","0.219","","","Not Scored"
"156","S","A.J. Haulcy","LSU Tigers","86.9","0.183","","","Not Scored"
"157","ED","Joshua Josephs","Tennessee Volunteers","86.8","0.108","","","Not Scored"
"158","DI","A'Mauri Washington","Oregon Ducks","80.0","0.217","","","Not Scored"
"159","WR","Chris Brazzell II","Tennessee Volunteers","79.3","0.204","","","Not Scored"
"160","WR","Ian Strong","Rutgers Scarlet Knights","78.8","0.238","","","Not Scored"
"161","WR","Elijah Sarratt","Indiana Hoosiers","87.5","0.434","","","Not Scored"
"162","CB","Chris Johnson","San Diego State Aztecs","91.6","0.343","","","Not Scored"
"163","T","Austin Siereveld","Ohio State Buckeyes","83.5","0.188","","","Not Scored"
"164","DI","Kayden McDonald","Ohio State Buckeyes","86.5","0.189","","","Not Scored"
"165","ED","Matayo Uiagalelei","Oregon Ducks","82.4","0.162","","","Not Scored"
"166","LB","Deontae Lawson","Alabama Crimson Tide","77.6","0.177","","","Not Scored"
"167","ED","Gabe Jacas","Illinois Fighting Illini","78.3","0.062","","","Not Scored"
"168","WR","Ja'Kobi Lane","USC Trojans","77.6","0.233","","","Not Scored"
"169","LB","Anthony Hill Jr.","Texas Longhorns","72.8","0.097","","","Not Scored"
"170","WR","Chris Bell","Louisville Cardinals","81.8","0.234","","","Not Scored"
"171","HB","Jonah Coleman","Washington Huskies","81.7","0.103","","","Not Scored"
